Strain,Type,Effects
Double-Dream,hybrid,"Uplifted,Relaxed,Happy,Focused,Euphoric"
Double-Dutch,hybrid,"Hungry,Uplifted,Talkative,Creative,Energetic"
Double-Mint,indica,"Uplifted,Euphoric,Sleepy,Talkative,Tingly"
Double-Og,indica,"Sleepy,Happy,Euphoric,Relaxed,Focused"
Double-Purple-Doja,indica,"Relaxed,Creative,Sleepy,Happy,Euphoric"
Double-Tangie-Banana,hybrid,"Happy,Uplifted,Relaxed,Energetic,Euphoric"
Double-Tap,indica,"Talkative,Happy,Relaxed"
Dougs-Varin,sativa,"Uplifted,Creative,Energetic,Focused,Talkative"
Dr-Bubbles,hybrid,"Euphoric,Uplifted
"
Dr-Feelgood,hybrid,"Happy,Relaxed,Tingly,Euphoric,Sleepy"
Dr-Funk,indica,"Relaxed,Happy,Tingly,Sleepy,Aroused"
Dr-Grinspoon,sativa,"Happy,Energetic,Uplifted,Creative,Talkative"
Dr-Quantum,hybrid,"Sleepy,Relaxed"
Dr-Who,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Creative"
Dragon-Og,hybrid,"Uplifted,Happy,Relaxed,Euphoric,Focused"
Dragons-Breath,hybrid,"Happy,Uplifted,Talkative,Relaxed,Creative"
Dreadlock,hybrid,"Focused,Relaxed,Talkative,Tingly,Uplifted"
Dream-Beaver,sativa,"Happy,Uplifted,Energetic,Talkative,Creative"
Dream-Berry,indica,"Relaxed,Sleepy,Euphoric,Happy,Giggly"
Dream-Lotus,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Energetic"
Dream-Police,hybrid,"Uplifted,Talkative,Energetic,Euphoric,Creative"
Dream-Queen,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Energetic"
Dream-Star,hybrid,"Euphoric,Creative,Uplifted,Talkative,Relaxed"
Dreamers-Glass,hybrid,"Uplifted,Euphoric,Creative,Relaxed,Giggly"
Drizella,sativa,"Uplifted,Energetic,Happy,Euphoric,Giggly"
Duke-Nukem,hybrid,"Creative,Happy,Energetic,Focused,Euphoric"
Durban-Berry,hybrid,"Focused,Relaxed,Happy,Creative,Uplifted"
Durban-Cheese,hybrid,"Hungry,Euphoric,Uplifted,Giggly,Relaxed"
Durban-Cookies,sativa,"Happy,Uplifted,Euphoric,Relaxed,Hungry"
Durban-Poison,sativa,"Energetic,Happy,Uplifted,Euphoric,Focused"
Durga-Mata,indica,"Relaxed,Happy,Giggly,Uplifted,Creative"
Dutch-Crunch,hybrid,"Tingly,Focused,Hungry,Relaxed,Aroused"
Dutch-Dragon,sativa,"Euphoric,Relaxed,Happy,Creative,Focused"
Dutch-Hawaiian,sativa,"Happy,Relaxed,Uplifted,Euphoric,Energetic"
Dutch-Haze,sativa,"Relaxed,Energetic,Creative,Happy,Aroused"
Dutch-Kush,indica,"Hungry,Relaxed,Sleepy,Giggly,Creative"
Dutch-Queen,hybrid,"Happy,Relaxed,Tingly,Talkative,Euphoric"
Dutch-Thunder-Fuck,hybrid,"Uplifted,Euphoric,Talkative,Relaxed,Creative"
Dutch-Treat,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Focused"
Dutch-Treat-Haze,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Energetic"
Dutchberry,hybrid,"Happy,Uplifted,Energetic,Relaxed,Creative"
Dynamite,indica,"Relaxed,Euphoric,Happy,Hungry,Sleepy"
Early-Girl,indica,"Relaxed,Happy,Hungry,Uplifted,Talkative"
Early-Miss,hybrid,"Creative,Euphoric,Relaxed,Aroused,Talkative"
Early-Pearl,sativa,"Relaxed,Hungry,Euphoric,Focused,Talkative"
Early-Skunk,hybrid,"Relaxed,Uplifted,Hungry,Happy,Energetic"
Earth-Og,hybrid,"Relaxed,Sleepy,Hungry,Happy,Creative"
Earthquake,hybrid,"Creative,Euphoric,Uplifted,Happy,Energetic"
Earthshaker-Og,hybrid,"Happy,Euphoric,Aroused,Creative,Energetic"
East-Coast-Alien,sativa,"Happy,Euphoric,Hungry,Relaxed,Focused"
East-Coast-Sour-Diesel,sativa,"Happy,Euphoric,Relaxed,Energetic,Uplifted"
Eastern-European,indica,"Sleepy,Happy,Relaxed"
Easy-Bud,hybrid,"Euphoric,Relaxed,Uplifted,Creative,Happy"
Easy-Peezy,hybrid,"Relaxed,Sleepy,Uplifted,Creative,Euphoric"
Ebola-7,hybrid,"Talkative,Creative,Relaxed,Uplifted,Energetic"
Ecto-Cooler,hybrid,"Happy,Euphoric,Uplifted,Creative,Focused"
Ed-Rosenthal-Super-Bud,hybrid,"Uplifted,Relaxed,Focused,Creative,Euphoric"
Edelweiss,indica,"Happy,Relaxed,Hungry,Sleepy,Creative"
El-Chapo-Og,indica,"Relaxed,Happy,Uplifted,Sleepy,Euphoric"
El-Jeffe,indica,"Euphoric,Relaxed,Happy,Tingly,Uplifted"
El-Nino,hybrid,"Happy,Sleepy,Relaxed,Uplifted,Talkative"
El-Perro,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Sleepy"
El-Na,hybrid,"Aroused,Tingly,Happy,Relaxed"
Elderberry-Kush,hybrid,"Relaxed,Happy,Hungry,Sleepy,Euphoric"
Electric-Black-Mamba,indica,"Relaxed,Uplifted,Creative,Sleepy,Euphoric"
Electric-Kool-Aid,hybrid,"Happy,Uplifted,Talkative,Euphoric,Giggly"
Electric-Lemon-G,sativa,"Euphoric,Happy,Focused,Uplifted,Energetic"
Electric-Lemonade,sativa,"Creative,Happy,Tingly,Uplifted,Energetic"
Elephant,sativa,"Sleepy,Happy,Euphoric,Focused,Aroused"
Elmers-Glue,hybrid,"Hungry,Relaxed,Uplifted,Euphoric,Focused"
Elphinstone,sativa,"Happy,Uplifted,Focused,Talkative,Energetic"
Elvis,hybrid,"Relaxed,Uplifted,Euphoric,Talkative,Sleepy"
Emerald-Jack,sativa,"Happy,Uplifted,Euphoric,Energetic,Creative"
Emerald-Og,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Emperor-Cookie-Dough,hybrid,"Uplifted,Relaxed,Euphoric,Giggly,Happy"
Endless-Sky,indica,"Euphoric,Relaxed,Happy,Sleepy,Hungry"
Enemy-Of-The-State,indica,"Euphoric,Aroused,Focused,Tingly,Giggly"
Enigma,indica,"Relaxed,Happy,Sleepy,Giggly,Euphoric"
Eran-Almog,indica,"Relaxed,Euphoric,Happy,Sleepy,Uplifted"
Erdpurt,indica,None
Erez,indica,"Relaxed,Happy,Sleepy,Euphoric,Tingly"
Ether,indica,"Sleepy,Uplifted,Euphoric,Happy,Hungry"
Ethiopian,sativa,Hungry
Euphoria,sativa,"Euphoric,Happy,Energetic,Creative,Relaxed"
Eugene-Cream,hybrid,"Relaxed,Sleepy,Tingly,Creative,Euphoric"
Euphoria-Cookies,hybrid,"Euphoric,Creative,Uplifted,Happy,Relaxed"
Everlast,indica,"Relaxed,Sleepy,Happy,Tingly,Euphoric"
Ewok,hybrid,"Relaxed,Happy,Euphoric,Creative,Uplifted"
Exodus-Cheese,hybrid,"Uplifted,Relaxed,Euphoric,Happy,Focused"
Extreme-Cream,indica,"Relaxed,Sleepy,Happy,Uplifted,Euphoric"
Extreme-Og,indica,"Relaxed,Sleepy,Hungry,Happy,Aroused"
Fn-Louzer,indica,"Sleepy,Relaxed,Aroused,Tingly,Focused"
Face-Off-Og,indica,"Relaxed,Sleepy,Euphoric,Tingly,Happy"
Fallen-Angel,indica,"Hungry,Relaxed,Sleepy,Uplifted,Euphoric"
False-Teeth,hybrid,"Uplifted,Relaxed,Creative,Happy,Tingly"
Fast-Eddy,hybrid,"Sleepy,Happy,Relaxed,Creative,Euphoric"
Fat-Axl,hybrid,"Talkative,Uplifted,Creative,Happy,Energetic"
Fat-Nelson,hybrid,"Euphoric,Happy,Uplifted,Creative,Energetic"
Fat-Purple,indica,"Aroused,Euphoric,Relaxed,Giggly,Happy"
Faygo-Red-Pop,indica,"Relaxed,Happy,Creative,Euphoric,Giggly"
Fighting-Buddha,sativa,"Creative,Energetic,Euphoric,Focused"
Fire-Alien-Kush,hybrid,"Uplifted,Happy,Euphoric,Aroused,Giggly"
Fire-Alien-Strawberry,hybrid,"Talkative,Happy,Hungry,Relaxed,Energetic"
Fire-Haze,sativa,"Euphoric,Focused,Happy,Relaxed,Uplifted"
Fire-Og,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Energetic"
Firewalker-Og,sativa,"Uplifted,Happy,Relaxed,Euphoric,Creative"
First-48,hybrid,"Uplifted,Focused,Hungry,Relaxed"
Flaming-Cookies,indica,"Happy,Relaxed,Euphoric,Tingly,Sleepy"
Flo,hybrid,"Happy,Uplifted,Relaxed,Creative,Focused"
Flo-Limone,sativa,"Euphoric,Relaxed,Uplifted,Happy,Tingly"
Flo-Og,indica,"Happy,Relaxed,Euphoric,Uplifted,Creative"
Flo-Walker,hybrid,"Happy,Relaxed,Creative,Energetic,Euphoric"
Flowerbomb-Kush,indica,"Happy,Relaxed,Creative,Hungry,Euphoric"
Flowers-For-Algernon,hybrid,"Uplifted,Creative,Aroused,Talkative,Energetic"
Forbidden-Fruit,indica,"Relaxed,Happy,Euphoric,Sleepy,Creative"
Fortune-Cookies,hybrid,"Relaxed,Happy,Focused,Euphoric,Creative"
Four-Cups,hybrid,"Aroused,Talkative,Tingly,Uplifted,Energetic"
Four-Star-General,hybrid,"Euphoric,Hungry,Sleepy,Relaxed,Happy"
Four-Way,indica,"Sleepy,Euphoric,Relaxed,Focused"
Franks-Gift,hybrid,"Relaxed,Happy,Focused,Giggly,Uplifted"
Frankenstein,indica,"Relaxed,Sleepy,Euphoric,Happy,Tingly"
Fred-Flipn-Stoned,indica,"Happy,Relaxed,Sleepy,Tingly,Euphoric"
Freezeland,indica,"Relaxed,Sleepy,Focused,Talkative,Happy"
Frida,indica,"Relaxed,Happy,Creative,Sleepy,Aroused"
Frisian-Dew,hybrid,"Euphoric,Relaxed,Happy,Uplifted,Tingly"
Frisian-Duck,hybrid,"Euphoric,Hungry,Relaxed,Sleepy,Happy"
Frostbite,sativa,"Sleepy,Tingly,Happy,Relaxed,Uplifted"
Frosted-Freak,hybrid,"Happy,Relaxed,Focused,Euphoric,Uplifted"
Frosty,indica,"Sleepy,Relaxed,Creative,Hungry,Happy"
Frosty-Jesus,hybrid,"Tingly,Creative,Euphoric,Focused,Happy"
Fruit-Loops,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Focused"
Fruit-Punch,sativa,"Happy,Energetic,Creative,Focused,Uplifted"
Fruit-Spirit,hybrid,"Focused,Happy,Relaxed,Euphoric,Sleepy"
Fruity-Chronic-Juice,indica,"Relaxed,Euphoric,Happy,Uplifted,Creative"
Fruity-Pebbles,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Giggly"
Fruity-Widow,hybrid,"Relaxed,Sleepy,Happy,Hungry,Talkative"
Fruitylicious,indica,"Relaxed,Happy,Euphoric,Uplifted,Aroused"
Fucking-Incredible,indica,"Relaxed,Happy,Euphoric,Hungry,Giggly"
Full-Moon,sativa,"Aroused,Creative,Euphoric,Happy,Uplifted"
Funfetti,hybrid,"Happy,Relaxed,Euphoric,Energetic,Uplifted"
Funky-Monkey,indica,"Relaxed,Tingly,Happy,Giggly,Uplifted"
Future,hybrid,"Relaxed,Euphoric,Uplifted,Sleepy,Happy"
G-Force,indica,"Hungry,Relaxed,Focused,Aroused,Creative"
Goat,hybrid,"Euphoric,Relaxed,Sleepy,Energetic,Happy"
G-13,indica,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
G13-Diesel,hybrid,"Euphoric,Happy,Creative,Relaxed,Focused"
G13-Haze,hybrid,"Happy,Relaxed,Euphoric,Creative,Focused"
G13-Widow,hybrid,"Creative,Euphoric,Focused,Tingly,Sleepy"
Gg-1,hybrid,"Relaxed,Euphoric,Happy,Sleepy,Uplifted"
Gg-4,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Gg-5,hybrid,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
Gi-001,hybrid,"Creative,Focused,Energetic,Uplifted,Euphoric"
Griz-Kush,hybrid,"Happy,Euphoric,Creative,Uplifted,Energetic"
Gsc,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Creative"
Gto,hybrid,"Energetic,Focused,Uplifted,Creative,Euphoric"
Gabriel-Sherbet,hybrid,"Euphoric,Relaxed,Uplifted,Happy,Focused"
Galactic-Jack,sativa,"Energetic,Uplifted,Focused,Euphoric,Relaxed"
Galactica-Og,indica,"Euphoric,Focused,Relaxed"
Game-Changer,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
Gandalf-Og,indica,"Sleepy,Relaxed,Happy,Euphoric,Tingly"
Ganesh-Berry,hybrid,"Euphoric,Relaxed,Uplifted,Creative,Focused"
Garlic-Bud,indica,"Relaxed,Happy,Creative,Uplifted,Tingly"
Gas-Mask,indica,"Sleepy,Tingly,Euphoric,Relaxed"
Gatekeeper-Og,hybrid,"Euphoric,Relaxed,Sleepy,Uplifted,Focused"
Gelato,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Creative"
Gemstone,hybrid,"Happy,Relaxed,Focused,Euphoric,Uplifted"
Georgia-Pine,hybrid,"Euphoric,Uplifted,Energetic,Happy,Relaxed"
Ghost-Bubba,hybrid,"Happy,Energetic,Uplifted,Relaxed,Giggly"
Ghost-Cookies,hybrid,"Sleepy,Happy,Relaxed,Uplifted,Giggly"
Ghost-Og,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Hungry"
Ghost-Og-Moonshine,indica,"Happy,Uplifted,Euphoric,Hungry,Relaxed"
Ghost-Ship,indica,"Relaxed,Happy,Sleepy,Euphoric,Tingly"
Ghost-Train-Haze,sativa,"Uplifted,Happy,Energetic,Euphoric,Focused"
Gigabud,indica,"Relaxed,Uplifted,Happy,Tingly,Energetic"
Ginger-Ale,hybrid,"Euphoric,Happy,Relaxed,Creative,Giggly"
Glad-Max,hybrid,"Euphoric,Relaxed,Uplifted,Happy,Creative"
Glass-Apple,hybrid,"Uplifted,Energetic,Focused,Euphoric,Happy"
Glass-Slipper,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Creative"
Glue-Tech,hybrid,"Happy,Relaxed,Hungry,Uplifted,Euphoric"
Go-Time,hybrid,"Focused,Uplifted,Energetic,Euphoric,Relaxed"
Gobbilygoo,indica,"Hungry,Euphoric,Relaxed,Happy,Sleepy"
Gobbstopper,indica,"Happy,Relaxed,Sleepy,Creative,Euphoric"
God-Bud,indica,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
Gods-Gift,indica,"Relaxed,Happy,Euphoric,Sleepy,Hungry"
Gods-Green-Crack,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Energetic"
Godberry,indica,"Relaxed,Happy,Hungry,Sleepy,Euphoric"
Godfather-Og,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Godfather-Purple-Kush,indica,"Euphoric,Relaxed,Happy,Sleepy,Tingly"
Godzilla,indica,"Relaxed,Euphoric,Happy,Hungry,Tingly"
Godzilla-Blood,hybrid,"Happy,Hungry,Relaxed,Sleepy,Creative"
Godzilla-Glue,hybrid,"Uplifted,Focused,Happy,Relaxed,Euphoric"
Gods-Bubba,indica,"Relaxed,Happy,Sleepy,Tingly,Uplifted"
Gods-Treat,indica,"Uplifted,Euphoric,Happy,Focused,Energetic"
Gog-Magog,indica,"Sleepy,Hungry,Uplifted,Euphoric,Happy"
Goji-Diesel,hybrid,"Euphoric,Focused,Uplifted,Creative,Happy"
Goji-Og,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Creative"
Gold-Kings-Thai,sativa,"Energetic,Happy,Aroused,Uplifted,Creative"
Goldberry,indica,"Euphoric,Tingly,Creative,Happy,Focused"
Golden-Calyx,sativa,"Relaxed,Uplifted,Energetic,Happy,Aroused"
Golden-Gage,hybrid,"Happy,Energetic,Talkative,Giggly,Uplifted"
Golden-Goat,hybrid,"Uplifted,Happy,Euphoric,Relaxed,Energetic"
Golden-Lemon,hybrid,"Uplifted,Relaxed,Euphoric,Tingly,Happy"
Golden-Nugget,hybrid,"Uplifted,Creative,Focused,Happy,Aroused"
Golden-Panda,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Golden-Pineapple,hybrid,"Happy,Euphoric,Uplifted,Relaxed,Creative"
Golden-Soda,hybrid,None
Golden-State-Banana,indica,"Euphoric,Relaxed,Sleepy,Creative,Happy"
Golden-Tangie,sativa,"Focused,Happy,Aroused,Energetic,Tingly"
Golden-Ticket,hybrid,"Happy,Euphoric,Uplifted,Relaxed,Creative"
Golden-Tiger,sativa,"Talkative,Uplifted,Energetic,Euphoric,Happy"
Goldwing,sativa,"Uplifted,Happy,Euphoric,Creative,Energetic"
Goo,indica,"Relaxed,Sleepy,Hungry,Euphoric,Happy"
Gooberry,indica,"Sleepy,Aroused,Hungry,Relaxed,Happy"
Good-Medicine,hybrid,"Uplifted,Energetic,Happy,Focused,Talkative"
Gorilla-Biscuit,indica,"Relaxed,Euphoric,Creative,Sleepy,Happy"
Gorilla-Cookies,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
Gorilla-Grips,indica,"Sleepy,Uplifted,Euphoric,Happy,Relaxed"
Gorkle,sativa,"Relaxed,Happy,Creative,Focused,Aroused"
Government-Mule,indica,"Euphoric,Relaxed"
Grand-Doggy-Purps,indica,"Relaxed,Happy,Euphoric,Uplifted,Tingly"
Grand-Hindu,indica,"Relaxed,Happy,Euphoric,Focused,Uplifted"
Grand-Hustle,hybrid,"Uplifted,Relaxed,Euphoric,Focused,Giggly"
Granddaddy-Purple,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Grandmas-Batch,hybrid,"Euphoric,Happy,Tingly,Uplifted,Creative"
Grandmas-Sugar-Cookies,indica,"Relaxed,Happy,Energetic,Focused,Creative"
Grandpa-Larry-Og,indica,"Euphoric,Happy,Relaxed,Sleepy,Focused"
Grandpas-Breath,indica,"Relaxed,Euphoric,Sleepy,Uplifted,Creative"
Grape-Ape,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Grape-Calyx,hybrid,"Uplifted,Creative,Euphoric,Happy,Hungry"
Grape-Cookies,indica,"Relaxed,Creative,Uplifted,Sleepy,Euphoric"
Grape-Crush,hybrid,"Happy,Uplifted,Talkative,Hungry,Energetic"
Grape-Dawg,hybrid,"Euphoric,Relaxed,Hungry,Sleepy,Giggly"
Grape-Drink,indica,"Tingly,Creative,Euphoric,Giggly,Happy"
Grape-God,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
Grape-Inferno,indica,"Relaxed,Happy,Sleepy,Euphoric,Tingly"
Grape-Krush,indica,"Happy,Uplifted,Talkative,Hungry,Energetic"
Grape-Kush,hybrid,"Relaxed,Happy,Giggly,Sleepy,Euphoric"
Grape-Ox,indica,"Sleepy,Relaxed,Hungry,Tingly,Uplifted"
Grape-Skunk,indica,"Happy,Relaxed,Giggly,Tingly,Euphoric"
Grape-Soda,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Creative"
Sour-Grapes,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Hungry"
Grape-Valley-Kush,indica,"Relaxed,Sleepy,Euphoric,Happy,Aroused"
Grapefruit,sativa,"Uplifted,Energetic,Happy,Euphoric,Focused"
Grapefruit-Diesel,hybrid,"Focused,Energetic,Relaxed,Euphoric,Happy"
Grapefruit-Haze,sativa,"Uplifted,Happy,Energetic,Euphoric,Relaxed"
Grapefruit-Kush,hybrid,"Happy,Uplifted,Relaxed,Focused,Creative"
Gravity,indica,"Sleepy,Hungry,Relaxed,Aroused,Euphoric"
Grease-Monkey,hybrid,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
White-Shark,sativa,"Happy,Uplifted,Relaxed,Focused,Euphoric"
Green-Avenger,hybrid,"Energetic,Happy,Uplifted,Creative,Euphoric"
Green-Candy,sativa,"Uplifted,Happy,Relaxed,Focused,Giggly"
Green-Cheese,hybrid,"Euphoric,Relaxed,Energetic,Focused,Creative"
Green-Crack,sativa,"Energetic,Happy,Uplifted,Focused,Euphoric"
Green-Crack-Extreme,sativa,"Energetic,Creative,Focused,Euphoric,Uplifted"
Green-Door-Kush,hybrid,"Happy,Relaxed,Euphoric,Creative,Hungry"
Green-Dragon,indica,"Uplifted,Happy,Focused,Energetic,Relaxed"
Green-Dream,hybrid,"Happy,Uplifted,Creative,Euphoric,Hungry"
Green-Goblin,sativa,"Uplifted,Euphoric,Happy,Focused,Creative"
Green-Goddess,hybrid,"Euphoric,Relaxed,Aroused,Happy,Uplifted"
Green-Haze,sativa,"Happy,Talkative,Creative,Focused,Hungry"
Green-Hornet,hybrid,"Euphoric,Uplifted,Relaxed,Giggly,Happy"
Green-Kush,indica,"Euphoric,Hungry,Energetic,Relaxed,Focused"
Green-Lantern,sativa,"Uplifted,Energetic,Talkative,Focused,Hungry"
Green-Line-Og,hybrid,"Happy,Relaxed,Sleepy,Hungry,Uplifted"
Green-Love-Potion,indica,"Creative,Hungry,Relaxed,Uplifted,Happy"
Green-Mango,indica,"Euphoric,Uplifted,Happy,Creative,Relaxed"
Green-Monster,hybrid,"Happy,Relaxed,Uplifted,Hungry,Giggly"
Green-Poison,indica,"Relaxed,Happy,Euphoric,Sleepy,Hungry"
Green-Python,indica,"Sleepy,Euphoric,Happy,Relaxed,Tingly"
Green-Queen,hybrid,"Happy,Hungry,Energetic,Euphoric,Creative"
Green-Ribbon,hybrid,"Energetic,Happy,Focused,Creative,Talkative"
Gremlin,hybrid,"Euphoric,Relaxed,Uplifted,Aroused,Sleepy"
Grilled-Cheese,hybrid,"Uplifted,Creative,Energetic,Euphoric,Focused"
Grimace,indica,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Grimace-Og,indica,"Sleepy,Euphoric,Relaxed,Aroused,Happy"
Grimmdica,indica,"Euphoric,Relaxed"
Guard-Dawg,indica,"Happy,Relaxed,Sleepy,Euphoric"
Guava-Chem,hybrid,"Relaxed,Creative,Happy,Focused,Euphoric"
Guava-Gelato,hybrid,"Sleepy,Euphoric,Happy,Relaxed,Uplifted"
Guava-Kush,hybrid,"Relaxed,Sleepy,Happy,Uplifted,Euphoric"
Gucci-Og,hybrid,"Euphoric,Happy,Uplifted,Relaxed,Energetic"
Guido-Kush,indica,"Euphoric,Uplifted,Creative,Relaxed,Sleepy"
Gumbo,indica,"Relaxed,Euphoric,Happy,Sleepy,Hungry"
Gummo,hybrid,"Euphoric,Uplifted,Happy,Relaxed,Aroused"
Gummy-Bears,hybrid,"Relaxed,Uplifted,Happy,Euphoric,Sleepy"
Gupta-Haze,hybrid,"Relaxed,Happy,Sleepy,Euphoric,Giggly"
Gupta-Kush,hybrid,"Relaxed,Sleepy,Hungry,Aroused,Happy"
Guptilla,hybrid,"Happy,Relaxed,Euphoric,Focused,Sleepy"
Gutbuster,indica,"Relaxed,Sleepy,Giggly,Tingly,Happy"
Hades-Haze,indica,"Relaxed,Sleepy,Talkative,Euphoric,Giggly"
Haleighs-Hope,hybrid,"Relaxed,Happy,Uplifted,Talkative,Euphoric"
Hammerhead,indica,"Sleepy,Aroused,Tingly,Relaxed,Uplifted"
Hannibal-Nectar,indica,"Uplifted,Euphoric,Happy,Sleepy,Creative"
Haole,hybrid,"Euphoric,Relaxed,Happy,Uplifted,Creative"
Haoma,indica,"Relaxed,Happy,Sleepy,Hungry,Uplifted"
Haoma-Mist,hybrid,"Tingly,Happy,Relaxed,Uplifted,Euphoric"
Hardcore-Og,indica,"Relaxed,Happy,Uplifted,Sleepy,Tingly"
Harle-Tsu,hybrid,"Relaxed,Happy,Uplifted,Focused,Euphoric"
Harlequin,sativa,"Relaxed,Focused,Happy,Uplifted,Energetic"
Harlequin-Gdp,hybrid,"Relaxed,Talkative,Tingly,Energetic,Euphoric"
Harley-Storm,sativa,"Relaxed,Uplifted,Creative,Euphoric,Happy"
Harley-Twin,sativa,"Uplifted,Creative,Energetic,Euphoric,Relaxed"
Harmonia,indica,"Relaxed,Happy,Uplifted,Focused,Sleepy"
Harmony,hybrid,"Relaxed,Euphoric,Focused,Creative,Happy"
Harry-Potter,hybrid,"Relaxed,Happy,Uplifted,Creative,Giggly"
Hash-Plant,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Hashbar-Og,indica,"Euphoric,Happy,Relaxed,Creative,Focused"
Hashberry,indica,"Relaxed,Euphoric,Hungry,Happy,Focused"
Hashplant-Haze,sativa,"Happy,Uplifted,Relaxed,Euphoric,Sleepy"
Hawaiian,sativa,"Uplifted,Relaxed,Euphoric,Talkative,Giggly"
Hawaiian-Cookies,hybrid,"Happy,Relaxed,Creative,Energetic,Aroused"
Hawaiian-Delight,indica,"Happy,Relaxed,Aroused,Uplifted,Euphoric"
Hawaiian-Diesel,sativa,"Uplifted,Creative,Euphoric,Happy,Relaxed"
Hawaiian-Dream,sativa,"Uplifted,Relaxed,Happy,Focused,Euphoric"
Hawaiian-Fire,hybrid,"Energetic,Focused,Talkative,Euphoric,Uplifted"
Hawaiian-Haze,sativa,"Uplifted,Happy,Energetic,Talkative,Relaxed"
Hawaiian-Mayan-Gold,sativa,"Uplifted,Creative,Energetic,Euphoric,Happy"
Hawaiian-Punch,sativa,"Uplifted,Happy,Relaxed,Euphoric,Tingly"
Hawaiian-Purple-Kush,indica,"Relaxed,Happy,Giggly,Creative,Talkative"
Hawaiian-Sativa,sativa,"Uplifted,Euphoric,Happy,Relaxed,Creative"
Hawaiian-Skunk,hybrid,"Sleepy,Happy,Euphoric,Uplifted,Energetic"
Hawaiian-Snow,sativa,"Happy,Creative,Euphoric,Uplifted,Energetic"
Hawaiian-Sunrise,hybrid,"Uplifted,Happy,Relaxed,Tingly,Energetic"
Hawaiian-Thunder-Fuck,hybrid,"Uplifted,Creative,Euphoric,Energetic,Hungry"
Hawaiian-Trinity,hybrid,"Talkative,Uplifted,Creative,Euphoric,Focused"
Hawaii-78,sativa,"Creative,Euphoric,Happy,Relaxed,Sleepy"
Hayleys-Haze,sativa,"Sleepy,Uplifted,Focused"
Haze,sativa,"Uplifted,Happy,Creative,Tingly,Relaxed"
Haze-Berry,sativa,"Talkative,Aroused,Giggly,Happy,Energetic"
Haze-Heaven,hybrid,"Happy,Talkative,Uplifted,Energetic,Creative"
Haze-Mist,sativa,"Energetic,Focused,Happy,Hungry"
Haze-Wreck,sativa,"Uplifted,Happy,Euphoric,Talkative,Creative"
Head-Cheese,hybrid,"Euphoric,Happy,Uplifted,Creative,Relaxed"
Head-Trip,hybrid,"Relaxed,Focused,Happy,Uplifted,Euphoric"
Headband,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Creative"
Headbanger,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Hungry"
Heaven-Scent,hybrid,"Creative,Energetic,Euphoric,Focused,Happy"
Heavy-Duty-Fruity,hybrid,"Relaxed,Happy,Sleepy,Hungry,Giggly"
Heisenberg-Kush,sativa,"Talkative,Relaxed,Focused,Hungry,Happy"
Hell-Raiser-Og,hybrid,"Relaxed,Euphoric,Uplifted,Talkative,Happy"
Hells-Angel-Og,hybrid,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
Hellfire-Og,hybrid,"Euphoric,Relaxed,Happy,Energetic,Sleepy"
Hemlock,hybrid,"Happy,Uplifted,Relaxed,Giggly,Talkative"
Hempstar,sativa,"Happy,Euphoric,Creative,Uplifted,Energetic"
Hercules,hybrid,"Happy,Uplifted,Energetic,Giggly,Creative"
Herojuana,indica,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
Hibiscus-Sunrise,hybrid,"Euphoric,Uplifted,Relaxed,Energetic,Happy"
Higher-Power,sativa,"Creative,Uplifted,Energetic,Focused,Happy"
