Strain,Type,Effects
Blackberry-Haze,sativa,"Happy,Relaxed,Uplifted,Hungry,Focused"
Blackberry-Kush,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Blackberry-Lime-Haze,sativa,"Happy,Uplifted,Euphoric,Talkative,Focused"
Blackberry-Pie,hybrid,"Euphoric,Creative,Hungry,Relaxed,Happy"
Blackberry-Rhino,indica,"Relaxed,Happy,Creative,Hungry,Sleepy"
Blackberry-Trainwreck,hybrid,"Relaxed,Euphoric,Happy,Uplifted,Energetic"
Blackberry-X-Blueberry,indica,"Relaxed,Happy,Uplifted,Euphoric,Creative"
Blackwater,indica,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
Blaze,sativa,"Euphoric,Energetic,Talkative,Creative,Aroused"
Blissful-Wizard,hybrid,"Happy,Talkative,Euphoric,Relaxed,Uplifted"
Blizzard-Bush,hybrid,"Talkative,Uplifted,Creative,Energetic,Euphoric"
Blob-Og,hybrid,"Euphoric,Talkative,Uplifted,Creative,Happy"
Blockhead,hybrid,"Relaxed,Happy,Hungry,Uplifted,Euphoric"
Bloos-Kloos,indica,"Creative,Relaxed,Happy,Euphoric,Focused"
Blood-Orange-Kush,indica,"Sleepy,Uplifted,Euphoric,Happy,Creative"
Bloodhound,hybrid,"Happy,Relaxed,Focused,Talkative,Euphoric"
Blowfish,hybrid,"Relaxed,Uplifted,Happy,Euphoric,Tingly"
Blucifer,sativa,"Happy,Uplifted,Relaxed,Talkative,Focused"
Blue-Afghani,indica,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
Blue-Alien,indica,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Blue-Bastard,indica,"Euphoric,Happy,Sleepy,Uplifted,Creative"
Blue-Bayou,sativa,"Giggly,Uplifted,Creative,Happy,Sleepy"
Blue-Blood,indica,"Relaxed,Sleepy,Hungry,Talkative,Focused"
Blue-Boy,hybrid,"Happy,Relaxed,Giggly,Euphoric,Aroused"
Blue-Buddha,indica,"Relaxed,Euphoric,Sleepy,Uplifted,Happy"
Blue-Champange,hybrid,"Uplifted,Happy,Relaxed,Creative,Euphoric"
Blue-Cheese,indica,"Relaxed,Happy,Euphoric,Sleepy,Hungry"
Blue-Cinex,hybrid,"Focused,Uplifted,Happy,Energetic,Sleepy"
Blue-Cookies,hybrid,"Relaxed,Euphoric,Happy,Uplifted,Creative"
Blue-Crack,hybrid,"Happy,Relaxed,Uplifted,Energetic,Focused"
Blue-Diamond,indica,"Euphoric,Relaxed,Happy,Sleepy,Talkative"
Blue-Diesel,hybrid,"Relaxed,Euphoric,Uplifted,Happy,Creative"
Blue-Dot,sativa,"Energetic,Happy,Relaxed,Focused,Uplifted"
Blue-Dragon,hybrid,"Euphoric,Uplifted,Relaxed,Happy,Giggly"
Blue-Dream,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Creative"
