Strain,Type,Effects,H2O,TotalTHC,THC,Δ8-THC,Δ9-THC,THCA,THCV,TotalCBD,CBDA,CBDV,CBDVA,CBC,CBG,CBN,α-Pinene,Camphene,Myrcene,β-Pinene,3-Carene,α-Terpinene,D-Limonene,p-Cymene,Ocimene,Eucalyptol,γ-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,β-Caryophyllene,α-Humelene,Nerolidol-1,Nerolidol-2,Guaiol,CaryophylleneOxide,α-Bisabolol
Orange Cookies,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Creative",9.32%,192.65,192.65,0,1.05,198,0,2.27,0,0,0,0,1.06,0,0,0,1.55,0,0,0,0.6,0,0,0,0,2.9,0,0,0,1.89,0.54,0,0,0,0,0
Cinex,sativa,"Energetic,Uplifted,Happy,Focused,Euphoric",10.77%,160.24,160.24,0,3.54,159,0,0,0,0,0,0,2.36,0,0,0,0,0.69,0,0,4.11,0,0,0,0,0,0,0,0,1.52,0,0,0,0.55,0,0
Morning Star,NA,NA,9.79%,230.87,230.87,0,5.68,231,0,0,0,0,0,0,0.85,0,0,0,4.89,0,0,0,1.14,0,0,0,0,0,0,0,0,5.65,1.59,0,0,0.87,0,0.69
Jack Herer,sativa,"Happy,Uplifted,Energetic,Euphoric,Creative",9.58%,207.7,207.7,0,3.63,210,0,2.98,0,0,0,0,0.77,0,0,0,1.73,0.65,0,0,1.04,0,0,0,0,6.43,0,0,0,2.96,1.06,0,0,0.67,0,0
Headdog 7,NA,NA,12.45%,213.36,213.36,0,4.38,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,1.26,0,0,7.4,2.7,0.27,0,0,0,0
Kings Pure Kush,indica,"Relaxed,Happy,Euphoric,Sleepy,Uplifted",11.46%,194.14,194.14,0,0,196,0,0,0,0,0,0,0,0,0,0,0.72,0.62,0,0,4.36,0,0,0,0,0,1.81,0,0,1.37,0,0,0,0,0,0
Harley Wreck 2,NA,NA,7.66%,8.87,8.87,0,0,9,0,197.57,202,0,3.27,0,1.44,0,0,0,3.26,0,0,0,0.72,0,0,0,0,0,0.58,0,0,4.12,1.08,0,0.46,0,0,0
Canna  Wreck,NA,NA,8.15%,8.62,8.62,0,0,9,0,164.17,170,0,0.68,0,1.53,0,0,0,2.78,0,0,0,0.93,0,0,0,0,0,0,0,0,3.26,0.89,0,0,0.58,0,1.3
Frank'S Gift,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Focused",9.40%,44.32,44.32,0,4.55,40,0,127.79,127,0,2.99,0.67,0.97,0,3.15,0,8.06,1.1,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0
Sanfernando Valley Og,NA,NA,10.19%,246.27,246.27,0,2.8,249,0,0,0,0,0,0,1.06,0,0,0,4.61,0,0,0,3.13,0,0,0,0,0,0.68,0,0,4.62,1.26,0,0,0,0,0
Sunset Sherbert,NA,NA,10.77%,234.7,234.7,0,1.57,237,0,0,0,0,0,0,1.36,0,0,0,0.92,0,0,0,1.94,0,0,0,0,0,0.91,0,0,4.45,1.74,0,0,0,0,0
Where'S My Bike,NA,NA,9.65%,200.11,200.11,0,1.01,205,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,1.89,0,0,0,0,0,0,0,0,5.97,1.6,0,0,0,0,0
Incredible Power,NA,NA,10.47%,60.28,60.28,0,13.1,46,0,93.45,87.2,0,0,0.92,0,0,1.17,0,7.1,0,0,0,0.68,0,0,0,0,0,2.03,0,0,2.01,0,0,0,1.21,0,1.81
Jack's Grapes,NA,NA,12.20%,191.92,191.92,0,3.63,188,0,1.8,0,0,0,0,0,0,1.25,0,5.15,0.74,0,0,0.59,0,0,0,0,3.04,0,0,0,1.24,0,0,0,0,0,0.69
